,dishes,image_url
0,Lamb Sliders,https://www.watermelon.org/img/Recipes/LambSliders.jpg
1,Grilled Cheese Arugula Panini,https://www.watermelon.org/img/Recipes/GrilledCheeseArugulaPanini.jpg
2,Watermelon Sandwich Wraps,https://www.watermelon.org/img/Recipes/WatermelonSandwichWraps.jpg
3,Gluten Free Mozzarella Sandwiches,https://www.watermelon.org/img/Recipes/GlutenFreeMozzarellaSandwiches.jpg
4,Greek Pita Flatbread,https://www.watermelon.org/img/Recipes/GreekPitaFlatbread.jpg
5,BCWTP,https://www.watermelon.org/img/Recipes/BCWTP.jpg
6,Grilled Chicken and Boursin Sandwich,https://www.watermelon.org/img/Recipes/GrilledChickenandBoursinSandwich.jpg
7,Pork and Watermelon Sandwich,https://www.watermelon.org/img/Recipes/PorkandWatermelonSandwich.jpg
8,Smoked Mozzarella Pumps,https://www.watermelon.org/img/Recipes/SmokedMozzarellaPumps.jpg
9,Sloppy Joes,https://www.watermelon.org/img/Recipes/SloppyJoes.jpg
10,Taboule Stacks with Chicken,https://www.watermelon.org/img/Recipes/TabouleStackswithChicken.jpg
11,Pulled Pork and Watermelon BBQ Sauce,https://www.watermelon.org/img/Recipes/PulledPorkandWatermelonBBQSauce.jpg
